1,143,1,875072631
1,237,2,875071749
1,78,1,878543176
1,219,1,878542327
1,69,3,875072262
1,107,4,875241619
1,161,4,875072303
1,102,2,889751736
1,130,3,875072002
1,79,4,875072865
1,216,5,876892701
1,125,3,878542960
1,129,5,887431908
1,179,3,875072370
1,81,5,875072865
1,185,4,875072631
1,95,4,875072303
1,202,5,875072442
1,123,4,875071541
1,23,4,875072895
1,263,1,875693007
1,195,5,876892855
1,87,5,878543541
1,168,5,874965478
1,118,3,875071927
1,139,3,878543216
1,44,5,878543541
1,46,4,876893230
1,169,5,878543541
1,160,4,875072547
1,184,4,875072956
1,73,3,876892774
1,53,3,876893206
1,41,2,876892818
1,174,5,875073198
1,20,4,887431883
1,63,2,878543196
1,19,5,875071515
1,205,3,878542909
1,56,4,875072716
1,221,5,887431921
1,84,4,875072923
1,32,5,888732909
1,74,1,889751736
1,52,4,875072205
1,15,5,875071608
1,64,5,875072404
1,270,5,888732827
1,137,5,875071541
1,239,4,878542845
1,247,1,875241619
1,211,3,878541970
1,126,2,875071713
1,180,3,875072573
1,256,4,889751712
2,303,4,888550774
2,287,3,888551235
2,255,4,888551341
2,302,5,888552084
2,127,5,888552084
2,305,3,888550065
2,294,1,888551648
2,257,4,888551062
2,282,4,888551922
2,278,3,888551647
2,251,5,888552084
2,280,3,888551441
3,355,3,889237247
3,342,4,889237174
3,336,1,889237198
3,268,3,889236961
3,326,2,889237224
3,350,3,889237076
3,300,2,889236939
3,319,2,889237026
3,322,3,889237269
3,258,2,889237026
3,271,3,889237224
4,357,4,892003525
4,288,4,892001445
4,324,5,892002353
4,210,3,892003374
4,260,4,892004275
5,447,3,875720744
5,145,1,875720830
5,429,3,875637429
5,414,3,875636691
5,432,4,875636793
5,226,3,875635962
5,443,4,875720744
5,95,4,875721168
5,168,3,875636691
5,378,1,875721167
5,135,4,875637536
5,225,2,875635723
5,400,1,878844630
5,98,3,875720691
5,424,1,875635807
5,430,5,875636631
5,214,3,875637485
5,381,1,875636540
5,446,4,875720845
5,233,4,875729064
5,143,3,875636815
5,426,3,878844510
5,121,4,875635189
5,189,5,878844495
5,230,3,875636070
5,139,3,875721260
5,40,4,879198109
5,211,4,875636631
5,163,5,879197864
5,367,3,875636281
5,63,1,878844629
5,375,3,875637587
5,394,2,879198031
5,407,3,875635431
5,445,3,875720744
6,166,4,883601426
6,514,5,883600657
6,357,4,883602422
6,509,4,883602664
6,203,3,883602864
6,69,3,883601277
6,117,2,883599431
6,111,2,883599478
6,510,4,883600785
6,131,5,883602048
6,177,4,883600818
6,86,3,883603013
6,309,2,883268430
6,419,4,883602284
6,19,4,883602965
6,180,4,883601311
6,246,3,883599509
6,485,5,883602664
6,301,2,883600406
6,432,4,883601713
6,473,2,883600111
6,156,3,883602212
6,8,4,883600657
6,186,4,883602730
6,165,5,883600747
6,498,4,883601053
6,497,4,883601088
6,187,4,883600914
6,298,3,883599558
6,499,4,883602283
6,284,2,883599590
6,195,4,883602283
6,257,2,883599478
6,208,4,883602422
6,527,4,883600877
6,308,3,883600445
6,460,2,883600004
6,124,5,883599228
6,71,4,883601053
6,269,4,883268222
6,261,3,883268522
6,340,2,883268278
7,662,3,892133739
7,131,5,891352383
7,193,5,892135346
7,266,4,891350703
7,199,5,892135346
7,106,4,891353892
7,154,5,891353124
7,268,3,891350703
7,171,3,891351287
7,587,4,891353950
7,203,5,891352178
7,140,5,891353124
7,559,5,891354882
7,391,3,892132943
7,514,2,891351121
7,599,1,891353860
7,644,5,891351685
7,227,3,892132317
7,205,5,891351585
7,541,2,891354662
7,616,4,891351002
7,501,5,891353411
7,192,4,891352010
7,135,5,891351547
7,498,5,891351814
7,288,4,891350703
7,447,5,891350900
7,97,5,891351201
7,432,4,891352831
7,530,5,891350900
7,216,4,891350900
7,654,5,892135347
7,82,3,891351471
7,563,2,892131978
7,118,2,891353411
7,682,2,891350383
7,451,5,891353892
7,484,5,891351201
7,212,1,891353051
7,264,4,891350703
7,99,5,891352557
7,622,4,891352984
7,136,5,891351813
7,581,5,891353477
7,624,4,891353892
7,200,5,891353543
7,603,4,891350757
7,186,4,891350900
7,180,5,891350782
7,230,3,891353326
7,586,3,891354639
7,497,4,891352134
7,64,5,891350756
7,378,5,891353011
7,387,3,892133670
7,237,5,891351772
7,452,5,891353860
7,80,4,891354381
7,238,5,891351814
7,474,5,891351002
7,635,3,891352864
7,430,3,891352178
7,649,5,891353254
7,509,5,891352778
7,258,4,892135277
7,607,3,891352831
7,384,3,891353710
7,436,5,891351471
7,440,1,892131978
7,152,4,891351851
7,198,3,891351685
7,578,3,891354090
7,403,4,891351234
7,69,5,891351728
7,324,1,892135078
7,427,5,891352220
7,663,5,891352220
7,11,3,891352451
7,144,5,891351201
7,265,5,891350845
7,664,3,891353977
8,258,5,879361482
8,176,5,879362233
8,385,1,879362124
8,222,5,879362356
8,336,3,879361664
8,338,4,879361873
8,228,5,879362286
8,195,5,879362287
8,11,3,879362233
8,7,3,879362287
8,511,5,879362183
9,507,4,886959343
9,6,5,886960055
9,242,4,886958715
9,201,5,886960055
9,483,5,886960056
10,100,5,877891747
10,40,4,877892438
10,69,4,877889131
10,480,5,877888943
10,7,4,877892210
10,238,4,877892276
10,333,4,877886359
10,321,4,879163494
10,463,4,877889186
10,693,4,877886783
10,179,5,877889004
10,197,5,877888944
10,199,4,877892050
10,178,5,877888677
10,334,4,877886281
10,176,4,877889130
10,695,3,877892050
10,205,5,877888812
10,182,5,877888876
10,694,5,877892437
10,157,5,877889004
10,504,5,877892110
10,170,4,877889333
10,702,3,877886722
10,582,4,877892276
